0,1,2,3,4,5,6,7,8,9,10
0,40,153,326,95,341,275,1038,292,207,604
41,1,81,508,520,89,216,107,660,276,137
2,42,240,215,306,169,100,526,110,177,147
3,43,120,128,37,77,1005,995,587,451,744
44,4,109,8,48,229,41,1,225,207,81
45,5,100,169,258,825,269,240,290,549,935
6,46,261,309,1035,419,274,806,348,334,99
47,7,1025,880,537,218,1009,892,536,263,550
48,8,109,690,229,207,4,44,152,392,910
9,49,165,368,685,543,573,728,1033,915,930
50,10,412,237,671,853,864,500,704,130,166
11,51,716,482,56,16,252,980,837,136,465
52,12,364,436,516,19,59,297,852,857,69
13,53,367,435,1012,234,875,320,993,353,88
54,14,737,192,188,175,673,730,133,203,106
15,55,598,686,848,977,566,810,195,662,539
16,56,837,51,11,465,716,252,980,648,136
17,57,660,982,299,167,81,1,41,137,276
58,18,301,246,467,61,21,123,60,20,109
59,19,436,297,857,29,69,852,52,12,364
20,60,191,146,784,601,243,492,467,21,61
21,61,467,20,60,171,58,18,194,123,726
22,62,133,163,1006,370,80,464,730,527,125
63,23,127,534,504,927,404,398,619,331,873
24,64,913,73,33,666,114,456,429,941,300
65,25,105,1003,271,254,638,111,72,32,786
26,66,856,845,598,747,368,15,55,3704,303
67,27,929,861,546,695,236,582,1008,774,706
28,68,532,302,939,916,1035,419,6,46,261
29,69,297,857,852,19,59,436,309,364,52
30,70,168,39,79,83,155,726,298,357,196
31,71,441,850,579,134,959,430,1020,895,510
32,72,254,518,719,126,381,523,786,663,25
33,73,919,64,24,666,456,114,429,904,648
74,34,111,788,407,375,638,799,735,300,648
35,75,806,569,1014,174,85,511,770,999,607
76,36,292,743,927,359,988,657,709,259,164
77,37,120,128,43,3,290,735,799,407,156
38,78,138,150,119,1015,885,137,276,253,450
39,79,726,168,83,70,30,171,558,21,61
0,40,153,326,95,341,275,1038,292,207,604
1,41,81,520,508,89,216,107,660,276,137
42,2,240,215,306,169,100,526,110,177,147
43,3,120,128,77,37,1005,995,587,451,744
44,4,109,48,8,229,1,41,225,207,81
5,45,100,169,258,825,269,240,290,549,935
46,6,261,309,1035,419,274,806,348,334,99
47,7,880,1025,537,218,892,1009,536,263,550
48,8,109,690,229,207,44,4,152,392,910
49,9,165,368,685,543,573,728,1033,915,930
10,50,412,237,671,853,864,500,704,130,166
51,11,716,482,16,56,252,980,837,136,465
52,12,364,436,516,59,19,297,852,857,29
53,13,367,435,1012,234,875,320,993,353,88
14,54,737,192,188,175,673,730,133,203,106
55,15,598,686,848,977,566,810,195,662,539
56,16,837,11,51,465,716,252,980,648,136
57,17,660,982,299,167,81,41,1,137,276
18,58,301,246,467,21,61,123,20,60,109
19,59,436,297,857,29,69,852,52,12,364
60,20,191,146,784,601,243,492,467,61,21
61,21,467,60,20,171,18,58,194,123,726
62,22,133,163,1006,370,80,464,730,527,125
63,23,127,534,504,927,404,398,619,331,873
24,64,913,73,33,666,114,456,429,941,300
25,65,105,1003,271,254,638,111,32,72,786
66,26,856,845,598,747,368,15,55,3704,303
67,27,929,861,546,695,236,582,1008,774,706
68,28,532,302,939,916,1035,419,46,6,261
69,29,297,857,852,19,59,436,309,364,52
70,30,168,79,39,83,155,726,298,357,196
71,31,441,850,579,134,959,430,895,1020,510
72,32,254,518,719,126,381,523,786,663,25
73,33,919,64,24,666,456,114,429,904,648
34,74,111,788,407,375,638,799,735,300,648
35,75,806,569,1014,174,85,511,770,999,607
36,76,292,743,927,359,988,657,709,259,164
37,77,120,128,43,3,290,735,799,407,156
38,78,138,150,119,1015,885,137,276,253,450
39,79,726,168,83,30,70,171,558,21,61
80,199,370,22,62,730,125,464,105,527,637
81,41,1,520,508,216,107,89,17,57,276
82,535,830,467,815,1015,885,172,333,145,979
83,168,401,79,39,30,70,726,150,344,200
84,285,223,176,211,940,184,695,385,854,157
85,35,75,607,174,433,376,125,770,511,352
86,524,240,180,911,1028,881,489,694,110,754
87,267,628,527,730,511,1,41,770,62,22
88,818,715,367,53,13,320,268,385,99,94
89,324,757,791,276,41,1,137,81,660,299
90,279,795,1018,238,984,794,504,261,185,6
91,154,929,977,940,395,228,239,481,658,208
92,369,265,696,577,119,364,12,52,255,272
93,829,550,274,379,637,1032,914,125,801,429
94,818,99,385,715,88,189,869,309,29,69
95,669,153,0,40,999,341,504,907,35,75
96,1036,28,68,801,527,559,22,62,730,637
97,13,53,446,367,977,435,320,766,920,129
